ds,yhat,Actual,Error,Absolute_Error,APE,Date,Hour
2025-08-01 00:00:00,298.79096323061526,335.8,-37.00903676938475,37.00903676938475,11.021154487607133,2025-08-01,0
2025-08-01 01:00:00,294.20076880612385,361.0,-66.79923119387615,66.79923119387615,18.503942158968464,2025-08-01,1
2025-08-01 02:00:00,303.5286291908272,366.8,-63.27137080917282,63.27137080917282,17.249555836742864,2025-08-01,2
2025-08-01 03:00:00,306.50408987002425,352.1,-45.59591012997578,45.59591012997578,12.949704666281106,2025-08-01,3
2025-08-01 04:00:00,275.26101275902147,294.3,-19.038987240978543,19.038987240978543,6.46924473019998,2025-08-01,4
2025-08-01 05:00:00,206.2855732211761,308.4,-102.11442677882384,102.11442677882384,33.111033326466874,2025-08-01,5
2025-08-01 06:00:00,134.98712564333016,307.9,-172.91287435666982,172.91287435666982,56.15877699144847,2025-08-01,6
2025-08-01 07:00:00,113.93102940297968,222.6,-108.66897059702032,108.66897059702032,48.81804609030563,2025-08-01,7
2025-08-01 08:00:00,170.40920374441473,213.5,-43.09079625558528,43.09079625558528,20.18304274266289,2025-08-01,8
2025-08-01 09:00:00,281.02448945774546,325.6,-44.57551054225456,44.57551054225456,13.690267365557297,2025-08-01,9
2025-08-01 10:00:00,387.6944365516793,484.0,-96.3055634483207,96.3055634483207,19.897843687669567,2025-08-01,10
2025-08-01 11:00:00,442.27222335328224,474.7,-32.427776646717746,32.427776646717746,6.831214798128871,2025-08-01,11
2025-08-01 12:00:00,440.87352135513817,484.9,-44.02647864486181,44.02647864486181,9.079496523997074,2025-08-01,12
2025-08-01 13:00:00,418.8862519463663,407.6,11.286251946366235,11.286251946366235,2.768952881836662,2025-08-01,13
2025-08-01 14:00:00,414.028378643563,442.7,-28.67162135643701,28.67162135643701,6.476535205881413,2025-08-01,14
2025-08-01 15:00:00,433.0426667545164,471.1,-38.05733324548362,38.05733324548362,8.078398056778523,2025-08-01,15
2025-08-01 16:00:00,451.4973017877434,465.5,-14.002698212256576,14.002698212256576,3.0080984344267616,2025-08-01,16
2025-08-01 17:00:00,443.0214910506882,471.8,-28.7785089493118,28.7785089493118,6.099726356361127,2025-08-01,17
2025-08-01 18:00:00,407.0095223269289,481.8,-74.79047767307117,74.79047767307117,15.523137748665665,2025-08-01,18
2025-08-01 19:00:00,368.1537730388251,412.0,-43.84622696117492,43.84622696117492,10.642288097372552,2025-08-01,19
2025-08-01 20:00:00,350.9884434636871,364.7,-13.711556536312912,13.711556536312912,3.759680980617744,2025-08-01,20
2025-08-01 21:00:00,357.1306848430672,368.7,-11.569315156932817,11.569315156932817,3.1378668719644205,2025-08-01,21
2025-08-01 22:00:00,367.9948060747333,379.4,-11.405193925266644,11.405193925266644,3.00611331714988,2025-08-01,22
2025-08-01 23:00:00,367.8666499391818,374.6,-6.733350060818225,6.733350060818225,1.7974773253652494,2025-08-01,23
2025-08-02 00:00:00,360.9378648511984,349.1,11.837864851198333,11.837864851198333,3.390966729074286,2025-08-02,0
2025-08-02 01:00:00,363.2883168528952,356.4,6.88831685289523,6.88831685289523,1.9327488363903564,2025-08-02,1
2025-08-02 02:00:00,378.83709380838434,369.6,9.237093808384316,9.237093808384316,2.4992136927446738,2025-08-02,2
2025-08-02 03:00:00,387.1887718045722,356.4,30.788771804572207,30.788771804572207,8.63882486099108,2025-08-02,3
2025-08-02 04:00:00,360.359947584912,320.1,40.25994758491197,40.25994758491197,12.577303213030918,2025-08-02,4
2025-08-02 05:00:00,294.7289450811969,335.4,-40.671054918803065,40.671054918803065,12.1261344420999,2025-08-02,5
2025-08-02 06:00:00,225.6082904158169,226.8,-1.1917095841831156,1.1917095841831156,0.5254451429378816,2025-08-02,6
2025-08-02 07:00:00,205.4790256351449,153.0,52.47902563514487,52.47902563514487,34.30001675499664,2025-08-02,7
2025-08-02 08:00:00,261.5626095063447,240.6,20.962609506344705,20.962609506344705,8.712639030068456,2025-08-02,8
2025-08-02 09:00:00,370.40646481113663,332.4,38.00646481113665,38.00646481113665,11.433954515985755,2025-08-02,9
2025-08-02 10:00:00,473.8887747401021,478.7,-4.811225259897867,4.811225259897867,1.0050606350319338,2025-08-02,10
2025-08-02 11:00:00,523.8402195063037,511.2,12.640219506303708,12.640219506303708,2.472656397946735,2025-08-02,11
2025-08-02 12:00:00,516.3714553465821,504.6,11.771455346582115,11.771455346582115,2.3328290421288376,2025-08-02,12
2025-08-02 13:00:00,486.88327259229936,393.6,93.28327259229934,93.28327259229934,23.700018443165483,2025-08-02,13
2025-08-02 14:00:00,473.12456943911536,501.8,-28.67543056088465,28.67543056088465,5.714513862272748,2025-08-02,14
2025-08-02 15:00:00,481.8870691938874,515.4,-33.512930806112536,33.512930806112536,6.502314863428897,2025-08-02,15
2025-08-02 16:00:00,488.8056709234089,462.5,26.30567092340891,26.30567092340891,5.687712632088413,2025-08-02,16
2025-08-02 17:00:00,467.5935593452088,494.3,-26.706440654791265,26.706440654791265,5.402880974062566,2025-08-02,17
2025-08-02 18:00:00,417.7455521197037,484.1,-66.35444788029633,66.35444788029633,13.706764693306411,2025-08-02,18
2025-08-02 19:00:00,364.0701849672264,408.7,-44.62981503277359,44.62981503277359,10.91994495541316,2025-08-02,19
2025-08-02 20:00:00,331.2323178555845,370.5,-39.26768214441552,39.26768214441552,10.598564681353716,2025-08-02,20
2025-08-02 21:00:00,320.99294541310496,386.3,-65.30705458689505,65.30705458689505,16.90578684620633,2025-08-02,21
2025-08-02 22:00:00,314.9219100113003,389.2,-74.27808998869966,74.27808998869966,19.0848124328622,2025-08-02,22
2025-08-02 23:00:00,297.4706254010642,372.4,-74.9293745989358,74.9293745989358,20.120669870820567,2025-08-02,23
2025-08-03 00:00:00,278.1499702086835,329.4,-51.25002979131648,51.25002979131648,15.558600422379016,2025-08-03,0
2025-08-03 01:00:00,262.64619501193545,370.5,-107.85380498806455,107.85380498806455,29.11033872822255,2025-08-03,1
2025-08-03 02:00:00,260.62913816418984,366.5,-105.87086183581016,105.87086183581016,28.88700186515966,2025-08-03,2
2025-08-03 03:00:00,252.0570575427016,349.8,-97.74294245729844,97.74294245729844,27.942522143310025,2025-08-03,3
2025-08-03 04:00:00,209.0583228841998,313.7,-104.64167711580018,104.64167711580018,33.35724485680592,2025-08-03,4
2025-08-03 05:00:00,127.92955874025458,307.6,-179.67044125974544,179.67044125974544,58.410416534377575,2025-08-03,5
2025-08-03 06:00:00,43.930153705548776,228.6,-184.6698462944512,184.6698462944512,80.78295988383694,2025-08-03,6
2025-08-03 07:00:00,9.704754391577069,158.0,-148.29524560842293,148.29524560842293,93.8577503850778,2025-08-03,7
2025-08-03 08:00:00,52.836601002795874,165.9,-113.06339899720412,113.06339899720412,68.15153646606639,2025-08-03,8
2025-08-03 09:00:00,150.2346563384891,275.9,-125.66534366151087,125.66534366151087,45.54742430645556,2025-08-03,9
2025-08-03 10:00:00,243.9556582630106,379.6,-135.64434173698942,135.64434173698942,35.73349360826907,2025-08-03,10
2025-08-03 11:00:00,285.8285820209293,404.1,-118.27141797907076,118.27141797907076,29.26785894062627,2025-08-03,11
2025-08-03 12:00:00,271.9503198599778,419.0,-147.0496801400222,147.0496801400222,35.09538905489789,2025-08-03,12
2025-08-03 13:00:00,237.8468893555871,350.1,-112.25311064441291,112.25311064441291,32.06315642513936,2025-08-03,13
2025-08-03 14:00:00,221.5076032421826,380.7,-159.1923967578174,159.1923967578174,41.8157070548509,2025-08-03,14
2025-08-03 15:00:00,229.9065672478777,364.9,-134.99343275212232,134.99343275212232,36.99463764103106,2025-08-03,15
2025-08-03 16:00:00,238.660047757824,309.6,-70.93995224217605,70.93995224217605,22.91342126685273,2025-08-03,16
2025-08-03 17:00:00,221.29810811876223,121.7,99.59810811876224,99.59810811876224,81.83903707375696,2025-08-03,17
2025-08-03 18:00:00,177.15029737093363,99.6,77.55029737093363,77.55029737093363,77.86174434832695,2025-08-03,18
2025-08-03 19:00:00,131.02298044045494,86.3,44.72298044045495,44.72298044045495,51.82268880701616,2025-08-03,19
2025-08-03 20:00:00,107.70374798487408,89.6,18.10374798487408,18.10374798487408,20.20507587597553,2025-08-03,20
2025-08-03 21:00:00,109.01945310785788,103.9,5.119453107857879,5.119453107857879,4.927288842981596,2025-08-03,21
2025-08-03 22:00:00,116.41086825482763,99.7,16.710868254827645,16.710868254827645,16.761151709957517,2025-08-03,22
2025-08-03 23:00:00,114.05622386472984,99.1,14.95622386472985,14.95622386472985,15.092052335751616,2025-08-03,23
2025-08-04 00:00:00,160.94300267659935,99.4,61.54300267659934,61.54300267659934,61.91448961428505,2025-08-04,0
2025-08-04 01:00:00,163.86224956163872,103.3,60.56224956163872,60.56224956163872,58.62754071794649,2025-08-04,1
2025-08-04 02:00:00,181.49167932953253,104.5,76.99167932953253,76.99167932953253,73.67624816223208,2025-08-04,2
2025-08-04 03:00:00,193.5723359596072,107.1,86.4723359596072,86.4723359596072,80.73980948609449,2025-08-04,3
2025-08-04 04:00:00,172.12216677385365,108.2,63.92216677385365,63.92216677385365,59.07778814589062,2025-08-04,4
2025-08-04 05:00:00,113.34985234250884,106.1,7.249852342508859,7.249852342508859,6.833037080592705,2025-08-04,5
2025-08-04 06:00:00,52.33216189940475,104.9,-52.56783810059525,52.56783810059525,50.11233374699261,2025-08-04,6
2025-08-04 07:00:00,41.41853889244629,109.8,-68.3814611075537,68.3814611075537,62.27819773001249,2025-08-04,7
2025-08-04 08:00:00,107.89544085363406,208.2,-100.30455914636592,100.30455914636592,48.1770216841335,2025-08-04,8
2025-08-04 09:00:00,228.50232752107763,317.6,-89.09767247892239,89.09767247892239,28.053423324597727,2025-08-04,9
2025-08-04 10:00:00,345.25802339780284,480.8,-135.54197660219717,135.54197660219717,28.190926913934515,2025-08-04,10
2025-08-04 11:00:00,409.9406830330447,453.7,-43.75931696695534,43.75931696695534,9.644989413038427,2025-08-04,11
2025-08-04 12:00:00,418.42058293413936,57.7,360.7205829341394,360.7205829341394,625.1656549985083,2025-08-04,12
2025-08-04 13:00:00,405.8051535095765,405.0,0.8051535095764848,0.8051535095764848,0.1988033356978975,2025-08-04,13
2025-08-04 14:00:00,409.6405518075748,493.0,-83.35944819242525,83.35944819242525,16.90861018101932,2025-08-04,14
2025-08-04 15:00:00,436.647894275295,481.6,-44.95210572470501,44.95210572470501,9.333908995993564,2025-08-04,15
2025-08-04 16:00:00,462.45519494742416,477.3,-14.84480505257585,14.84480505257585,3.1101623826892624,2025-08-04,16
